group_type,group_value,n,mean_human_si_rate,mean_target_logprob,pearson_logprob,spearman_logprob,pearson_prob,spearman_prob
overall,all,309,0.39842739986731396,-4.334436693295469,0.17048872277182028,0.1923695821229241,0.25383415175566115,0.1923695821229241
dataset,Gotzner et al. (2018),70,0.3855714285714285,-5.023774152518573,-0.00697615700819246,0.051323349801568004,0.2552498039413313,0.051323349801568004
dataset,Pankratz & van Tiel (2021),50,0.33178133117999997,-4.04343380476,0.20924795630237417,0.21887608700335043,0.12671058932717552,0.21887608700335043
dataset,Ronai & Xiang (2022),60,0.3870833333333333,-4.175627153076666,0.35611640764392666,0.3579207774233356,0.3462361768671844,0.3579207774233356
dataset,van Tiel et al. (2016),129,0.4365116279069768,-4.147034326584496,0.16152326172854004,0.17954152532714018,0.22499432440979844,0.17954152532714018
pos,adj,248,0.3645526877379032,-4.552980944766533,0.06920124647494977,0.09075659520229448,0.22275107263636607,0.09075659520229448
pos,adv,14,0.6914285714285714,-3.3072503996785714,0.6221308784020201,0.2408876543678858,0.16408873649308955,0.2408876543678858
pos,conj,1,0.25,-10.9398727417,,,,
pos,det,1,0.925,-3.4747281075,,,,
pos,quant,6,0.715,-2.08992699285,0.9870327019946976,0.8783100656536799,0.9904706601502299,0.8783100656536799
pos,verb,39,0.45025641025641033,-3.511435782676923,0.19772628452876573,0.18897054719893075,0.038493938286247635,0.18897054719893075
target_n_tokens,1,265,0.4087037316415094,-4.052670977251699,0.14404586432806574,0.18098953389998682,0.24988443047991135,0.18098953389998682
target_n_tokens,2,33,0.3209015156666667,-5.83876456490909,0.2933853546229365,0.1779620588336025,0.1316471572767896,0.1779620588336025
target_n_tokens,3,9,0.35931372544444445,-7.542563365533334,-0.06195269446214192,-0.03333333333333333,0.2653476951428653,-0.03333333333333333
target_n_tokens,4,2,0.492002064,-2.4104141624,,,,
