dataset_label,expectedness_tertile,n,mean_target_logprob,mean_human_si_rate,sem_human_si_rate
Gotzner et al. (2018),low,24,-8.214999601720834,0.4091666666666667,0.047658646837247576
Gotzner et al. (2018),mid,23,-4.657303680547826,0.3460869565217392,0.0421869504317759
Gotzner et al. (2018),high,23,-2.0602702427130435,0.4004347826086957,0.04207314476272394
Pankratz & van Tiel (2021),low,17,-6.212132034970588,0.2943007399411765,0.0479335541018689
Pankratz & van Tiel (2021),mid,16,-3.6948847368375,0.3156205510625,0.06375283633310957
Pankratz & van Tiel (2021),high,17,-2.2027817561235294,0.38447206841176473,0.054334463527285895
Ronai & Xiang (2022),low,20,-7.201511938755,0.24874999999999997,0.058839517467340535
Ronai & Xiang (2022),mid,20,-3.865156278755,0.43000000000000005,0.07575497204457066
Ronai & Xiang (2022),high,20,-1.46021324172,0.48250000000000004,0.057241984040056676
van Tiel et al. (2016),low,43,-6.925709247160466,0.374186046511628,0.04197667516398555
van Tiel et al. (2016),mid,43,-3.920102402913953,0.4395348837209303,0.04096828242464235
van Tiel et al. (2016),high,43,-1.5952913296790698,0.4958139534883721,0.04527904445660932
